time_s,contact_count,normal_force_N,arm_tracking_error_rad
1.588,0,0,0.01678942209292876
1.59,0,0,0.016577673959672325
1.592,0,0,0.016364935095307332
1.594,0,0,0.01615123178330214
1.596,0,0,0.015936591981832244
1.598,0,0,0.015721045454262925
1.6,0,0,0.015504623911544549
1.602,0,0,0.015293430824831165
1.604,0,0,0.01509341314292246
1.606,0,0,0.014904308473653293
1.608,0,0,0.014725839381038452
1.61,0,0,0.014557724676609698
1.612,0,0,0.014399684644536833
1.614,0,0,0.01425144352918267
1.616,0,0,0.014112730753155426
1.618,0,0,0.013983281533540651
1.62,0,0,0.013862837205812821
1.622,0,0,0.01375114540053557
1.624,0,0,0.013647960141352637
1.6260000000000001,0,0,0.013553041896705309
1.6280000000000001,0,0,0.01346615760059589
1.6300000000000001,0,0,0.013387080649619975
1.6320000000000001,0,0,0.013315590879682046
1.6340000000000001,0,0,0.01325147452408337
1.6360000000000001,0,0,0.013194524153931343
1.6380000000000001,0,0,0.013144538601604992
1.6400000000000001,0,0,0.013101322867995622
1.6420000000000001,0,0,0.013064688014357043
1.6440000000000001,0,0,0.013034451039738796
1.6460000000000001,0,0,0.013010434745123077
1.6480000000000001,0,0,0.012992467585524093
1.6500000000000001,0,0,0.012980383511420827
1.6520000000000001,0,0,0.01297402180096909
1.6540000000000001,0,0,0.012973226884503142
1.6560000000000001,0,0,0.012977848162852065
1.6580000000000001,0,0,0.012987739821002967
1.6600000000000001,0,0,0.013002760638602107
1.6620000000000001,0,0,0.013022773798750355
1.6640000000000001,0,0,0.013047646696460611
1.666,0,0,0.01307725074807757
1.668,0,0,0.013111461202843191
1.67,0,0,0.013150156957696361
1.672,0,0,0.013193220376273006
1.674,0,0,0.01324053711295294
1.676,0,0,0.013291995942682275
1.678,0,0,0.013347488597181652
1.68,0,0,0.01340690960803393
1.682,0,0,0.013470156157023015
1.684,0,0,0.013537127934013429
1.686,0,0,0.013607727002537049
1.688,0,0,0.013681857673178994
1.69,0,0,0.013759426384766266
1.692,0,0,0.013840341593293328
1.694,0,0,0.01392451366845157
1.696,0,0,0.014011854797574917
1.698,0,0,0.014102278896766421
1.7,0,0,0.014195701528940483
1.702,0,0,0.014292039828461767
1.704,0,0,0.014391212432073105
1.706,0,0,0.01449313941574355
1.708,0,0,0.014597742237107712
1.71,0,0,0.014704943683106143
1.712,0,0,0.014814667822485965
1.714,0,0,0.014926839962785736
1.716,0,0,0.015041386611461394
1.718,0,0,0.015158235440797523
1.72,0,0,0.015277315256282393
1.722,0,0,0.015398555968118302
1.724,0,0,0.015521888565566527
1.726,0,0,0.01564724509383916
1.728,0,0,0.015774558633267887
1.73,0,0,0.01590376328049448
1.732,0,0,0.016034794131447597
1.734,0,0,0.01616758726589098
1.736,0,0,0.01630207973333549
1.738,0,0,0.016438209540141326
1.74,0,0,0.016575915637631247
1.742,0,0,0.016715137911074575
1.744,0,0,0.016855817169392277
1.746,0,0,0.01699789513547337
1.748,0,0,0.01714131443698376
1.75,0,0,0.01728601859757025
1.752,0,0,0.017431952028383
1.754,0,0,0.01757906001982879
1.756,0,0,0.017727288733498808
1.758,0,0,0.01787658519421053
1.76,0,0,0.018026897282117465
1.762,0,0,0.01817817372484369
1.764,0,0,0.018330364089612323
1.766,0,0,0.0184834187753366
1.768,0,0,0.018637289004651832
1.77,0,0,0.018791926815874313
1.772,0,0,0.018947285054867667
1.774,0,0,0.01910331736680925
1.776,0,0,0.019259978187853796
1.778,0,0,0.019417222736684406
1.78,0,0,0.01957500700595417
1.782,0,0,0.019733287753617428
1.784,0,0,0.01989202249415477
1.786,0,0,0.02005116948969515
1.788,0,0,0.020210687741039714
1.79,0,0,0.020370536978595862
1.792,0,0,0.020530677653227615
1.794,0,0,0.02069107092703185
1.796,0,0,0.0208516786640444
1.798,0,0,0.021012463420890165
1.8,0,0,0.02117338843738494
1.802,0,0,0.02133441762709448
1.804,0,0,0.021495515567862836
1.806,0,0,0.02165664749232039
1.808,0,0,0.02181777927837564
1.81,0,0,0.021978877439705263
1.812,0,0,0.02213990911624656
1.814,0,0,0.02230084206469877
1.816,0,0,0.022461644649050636
1.818,0,0,0.022622285831130153
1.82,0,0,0.022782735161189314
1.822,0,0,0.022942962768532443
1.824,0,0,0.023102939352189468
1.826,0,0,0.02326263617164499
1.828,0,0,0.02342202503762732
1.83,0,0,0.02358107830295955
1.832,0,0,0.023739768853483455
1.834,0,0,0.023898070099057006
1.836,0,0,0.0240559559646305
1.838,0,0,0.02421340088140631
1.84,0,0,0.02437037977808445
1.842,0,0,0.024526868072197408
1.844,0,0,0.02468284166154124
1.846,0,0,0.02483827691569588
1.848,0,0,0.024993150667651585
1.85,0,0,0.02514744020552932
1.852,0,0,0.025301123264405364
1.854,0,0,0.025454178018241413
1.856,0,0,0.025606583071916444
1.858,0,0,0.02575831745336997
1.86,0,0,0.025909360605848815
1.862,0,0,0.026059692380264145
1.864,0,0,0.02620929302765837
1.866,0,0,0.026358143191780307
1.868,0,0,0.02650622390177066
1.87,0,0,0.02665351656495951
1.872,0,0,0.026800002959770444
1.874,0,0,0.026945665228739316
1.8760000000000001,0,0,0.027090485871640098
1.8780000000000001,0,0,0.027234447738721163
1.8800000000000001,0,0,0.02737753402404984
1.8820000000000001,0,0,0.027519728258969464
1.8840000000000001,0,0,0.02766101430565894
1.8860000000000001,0,0,0.027801376350804444
1.8880000000000001,0,0,0.02794079889937775
1.8900000000000001,0,0,0.02807926676851652
1.8920000000000001,0,0,0.028216765081512808
1.8940000000000001,0,0,0.02835327926190596
1.8960000000000001,0,0,0.028488795027679033
1.8980000000000001,0,0,0.02862329838555271
1.9000000000000001,0,0,0.02875677562538646
1.9020000000000001,0,0,0.02888921331467649
1.9040000000000001,0,0,0.029020598293151085
1.9060000000000001,0,0,0.029150917667467784
1.9080000000000001,0,0,0.029280158806002366
1.9100000000000001,0,0,0.029408309333735786
1.9120000000000001,0,0,0.029535357127234842
1.9140000000000001,0,0,0.02966129030972458
